รายการ,สวนสัตว์,ปีงบประมาณ,ต.ค. 67,พ.ย. 67,ธ.ค. 67,ม.ค.68,ก.พ. 68,มี.ค. 68,เม.ย. 68,พ.ค. 68,มิ.ย. 68,ก.ค. 68,ส.ค. 68,ก.ย. 68,,
ผู้ใหญ่,สวนสัตว์เปิดเขาเขียว,2568," 174,614 "," 68,703 "," 97,091 "," 69,007 "," 43,889 "," 69,649 "," 93,962 "," 58,418 "," 42,288 ", -   , -   , -   ,,
เด็ก,สวนสัตว์เปิดเขาเขียว,2568," 64,740 "," 16,717 "," 20,830 "," 15,101 "," 9,915 "," 20,910 "," 30,226 "," 15,375 "," 7,644 ", -   , -   , -   ,,
โครงการให้บริการความรู้ อสส.,สวนสัตว์เปิดเขาเขียว,2568," 4,035 "," 4,876 "," 5,894 "," 11,099 "," 11,837 "," 11,486 ", 962 ," 1,422 "," 2,753 ", -   , -   , -   ,,
โครงการทัวร์สวนสัตว์,สวนสัตว์เปิดเขาเขียว,2568," 20,060 "," 21,699 "," 26,079 "," 34,682 "," 28,831 "," 23,612 "," 17,061 "," 11,511 "," 12,681 ", -   , -   , -   ,,
ผู้ใหญ่ (ชาวต่างชาติ),สวนสัตว์เปิดเขาเขียว,2568," 4,584 "," 4,963 "," 6,499 "," 6,757 "," 4,337 "," 3,364 "," 3,057 "," 2,020 "," 2,191 ", -   , -   , -   ,,
เด็ก (ชาวต่างชาติ),สวนสัตว์เปิดเขาเขียว,2568, 715 , 455 , 914 ," 1,140 ", 696 , 475 , 466 , 289 , 391 , -   , -   , -   ,,
ผู้ใหญ่ (สวนสัตว์กลางคืน),สวนสัตว์เปิดเขาเขียว,2568, 418 , 202 , 252 , 87 , 266 , 39 , 134 , 120 , 36 , -   , -   , -   ,,
เด็ก (สวนสัตว์กลางคืน),สวนสัตว์เปิดเขาเขียว,2568, 168 , 61 , 80 , 25 , 64 , 26 , 73 , 25 , 7 , -   , -   , -   ,,
ยกเว้น,สวนสัตว์เปิดเขาเขียว,2568," 29,700 "," 15,514 "," 20,655 "," 19,870 "," 13,057 "," 19,786 "," 23,353 "," 14,164 "," 11,677 ", -   , -   , -   ,,
ผู้ใหญ่,สวนสัตว์เชียงใหม่,2568," 27,509 "," 15,564 "," 34,408 "," 28,490 "," 15,058 "," 17,587 "," 22,383 "," 16,912 "," 15,358 ", -   , -   , -   ,,
เด็ก,สวนสัตว์เชียงใหม่,2568," 8,328 "," 3,876 "," 6,716 "," 6,280 "," 3,735 "," 4,853 "," 7,639 "," 4,880 "," 3,332 ", -   , -   , -   ,,
โครงการให้บริการความรู้ อสส.,สวนสัตว์เชียงใหม่,2568," 1,031 "," 1,488 "," 3,056 "," 4,689 "," 7,187 "," 4,488 ", 901 , 306 , 468 , -   , -   , -   ,,
โครงการทัวร์สวนสัตว์,สวนสัตว์เชียงใหม่,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
ผู้ใหญ่ (ชาวต่างชาติ),สวนสัตว์เชียงใหม่,2568," 2,282 "," 3,526 "," 5,273 "," 5,879 "," 4,217 "," 2,501 "," 2,623 "," 2,111 "," 2,179 ", -   , -   , -   ,,
เด็ก (ชาวต่างชาติ),สวนสัตว์เชียงใหม่,2568, 380 , 368 , 873 ," 1,209 ", 835 , 293 , 468 , 303 , 367 , -   , -   , -   ,,
ผู้ใหญ่ (สวนสัตว์กลางคืน),สวนสัตว์เชียงใหม่,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
เด็ก (สวนสัตว์กลางคืน),สวนสัตว์เชียงใหม่,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
ยกเว้น,สวนสัตว์เชียงใหม่,2568," 9,098 "," 3,912 "," 12,615 "," 13,469 "," 6,479 "," 4,044 "," 5,183 "," 4,062 "," 4,725 ", -   , -   , -   ,,
